ixdat version = 0.2.3
name = 01 Reshma1A 18H28 18H28_RuO2.pkl
technique = EC-MS
tstamp = 1535470034.0204
backend_name = BackendBase(none, address=none)
id = 1
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M32' and 'M72' and 'M44' and 'M2' and 'M34' and 'M20' and 'M40' and 'M4' and 'M36' and 'M18' and 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["I/mA"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M32,	M72,	M44,	M2,	M34,	M20,	M40,	M4,	M36,	M18,	M28
0,	0.54761165,	-0.0007897518916089108,	0.0,	1.10112e-11,	1.92901e-13,	1.85742e-12,	1.92688e-11,	8.25149e-13,	2.78501e-11,	6.82083e-13,	5.91814e-09,	3.11249e-13,	4.58036e-10,	1.88035e-11
2,	0.5572912876669288,	0.006393089929460744,	0.0,	1.159532391773069e-11,	1.9259222974400477e-13,	1.9866043808505505e-12,	1.8993554664097616e-11,	7.917998821603706e-13,	2.776683096826652e-11,	6.626027661937521e-13,	5.9064710986821984e-09,	3.123199276261837e-13,	4.5668158698204345e-10,	1.8691464992700275e-11
4,	0.5659855956816556,	0.007875708341148011,	0.0,	1.0751710436733902e-11,	1.9195491081401067e-13,	1.848572990406494e-12,	1.8502541906420777e-11,	8.173079614703964e-13,	2.762823033498069e-11,	6.559321220902785e-13,	5.901626909905113e-09,	3.23112709547171e-13,	4.571111081265449e-10,	1.9013480185384303e-11
6,	0.5786629544430895,	0.00836994146368653,	0.0,	1.0910312557023358e-11,	1.943285347914658e-13,	1.8804137024833745e-12,	1.904823292289545e-11,	8.293476657255098e-13,	2.802575032050274e-11,	7.158820189726794e-13,	5.901045176430229e-09,	3.2115900567295307e-13,	4.565193226528591e-10,	1.8768811255413917e-11
8,	0.587081519481547,	0.00853303297174004,	0.0,	1.111101172970385e-11,	1.954938351681952e-13,	1.7985653562389597e-12,	1.86584409441435e-11,	9.115868522767362e-13,	2.7706767258838974e-11,	6.463624320646977e-13,	5.917844081178466e-09,	2.9478445784544003e-13,	4.566696478822676e-10,	1.862532573851515e-11
10,	0.5999986485846165,	0.008728267077497484,	0.0,	1.0891656640463558e-11,	1.938848761883502e-13,	1.9450302076889107e-12,	1.8736666535458735e-11,	8.465990192682434e-13,	2.754528903180255e-11,	6.736601100622968e-13,	5.893193648631497e-09,	3.0090404531185475e-13,	4.554412475987522e-10,	1.8800348490159633e-11
12,	0.6067378593408197,	0.009025340670155247,	0.0,	1.1446238595027817e-11,	1.9278954742436985e-13,	1.94857267331517e-12,	1.9007030364708587e-11,	7.261943445005214e-13,	2.8405881139008234e-11,	6.376443635006155e-13,	5.919812290762833e-09,	3.429851790904305e-13,	4.581462380119141e-10,	1.9020628683970578e-11
14,	0.618666149071348,	0.009387271735180116,	0.0,	1.0827283628305197e-11,	1.9175256923218696e-13,	1.8939837376989726e-12,	1.8538749910192662e-11,	7.7347161025076e-13,	2.7859866592411983e-11,	6.831493590260109e-13,	5.904509151942498e-09,	3.3534619630857586e-13,	4.5693343734890104e-10,	1.9108058584404088e-11
16,	0.6284040153847346,	0.009901599195866547,	0.0,	1.0749209400684171e-11,	1.91560205289672e-13,	1.9892311061583785e-12,	1.879811192627004e-11,	7.726105591742965e-13,	2.8431201308077378e-11,	7.139382826460184e-13,	5.91861923971541e-09,	3.1817011366083334e-13,	4.607822786073566e-10,	1.9016234683783745e-11
18,	0.6384183201359617,	0.010636751191596159,	0.0,	1.0989571116453353e-11,	1.9136784134715704e-13,	2.0061031213107477e-12,	1.8820818080559688e-11,	8.394503478499741e-13,	2.7835998027705437e-11,	6.591141342311213e-13,	5.919473792024398e-09,	3.3209422722393356e-13,	4.587476666213316e-10,	1.9316409861222987e-11
20,	0.6485664970707308,	0.011847056737538404,	0.0,	1.1600335338388813e-11,	1.9117547740464205e-13,	2.057038952533822e-12,	1.8784562787074588e-11,	8.142758954780212e-13,	2.804467625283438e-11,	6.639501920859675e-13,	5.909315867551334e-09,	3.156768027707468e-13,	4.6090253663318975e-10,	1.9167665131261158e-11
22,	0.6564318045318607,	0.013846860932983596,	0.0,	1.2291696394529852e-11,	1.9098311346212709e-13,	2.2165088761330306e-12,	1.890767932876217e-11,	7.7775737087008e-13,	2.8086256225614682e-11,	7.013902552069471e-13,	5.914779668663097e-09,	3.0411111167029593e-13,	4.59571488268407e-10,	1.9016345749926844e-11
24,	0.670190512473799,	0.017189480113094006,	0.0,	1.4448929476453902e-11,	1.910599215060115e-13,	2.1912222186167067e-12,	1.8927264041792683e-11,	8.496566120659355e-13,	2.7622823056608763e-11,	6.607628702992424e-13,	5.92579412282214e-09,	3.0778853587224367e-13,	4.5838701667841977e-10,	1.9318569676116645e-11
26,	0.6766565932752506,	0.022458389595990166,	0.0,	1.7747132182209793e-11,	1.9117348865686603e-13,	2.3003582791188194e-12,	1.8678289085015405e-11,	8.649578248396171e-13,	2.8138759484487117e-11,	6.946704228428722e-13,	5.913236033105126e-09,	3.0026633366283697e-13,	4.5908677136159667e-10,	1.8839880293784082e-11
28,	0.6880043561423645,	0.029854276201526617,	0.0,	2.552261271224485e-11,	1.9128705580772053e-13,	2.4687820200738695e-12,	1.897019985150148e-11,	9.11759286022039e-13,	2.8288981551781852e-11,	6.647708992197933e-13,	5.896294341551597e-09,	3.216873585913739e-13,	4.590196869261692e-10,	1.932648540549323e-11
30,	0.6988194694841457,	0.03925698273346285,	0.0,	3.942012249847829e-11,	1.9140062295857505e-13,	2.8319658934243053e-12,	1.9089824034989976e-11,	8.949674467681332e-13,	2.7824761444194806e-11,	6.485270378263961e-13,	5.878752669285719e-09,	3.2557154433898574e-13,	4.580334933589228e-10,	1.9296754199458676e-11
32,	0.7063994409923945,	0.05026875079858479,	0.0,	6.103641244278742e-11,	1.9151419010942955e-13,	2.8437446069942366e-12,	1.898724939477185e-11,	1.042414710221189e-12,	2.8228358496355308e-11,	6.085885322987545e-13,	5.848847883426026e-09,	2.9890444985189313e-13,	4.5947492566605326e-10,	1.8960741278657677e-11
34,	0.7177530484233886,	0.06250639286867374,	0.0,	8.96263596075512e-11,	1.9162775726028404e-13,	3.038823792727004e-12,	1.9062653049170973e-11,	1.2245094872446695e-12,	2.7736203000267433e-11,	6.810225498934011e-13,	5.795872550064811e-09,	3.1783045112974623e-13,	4.584476022043732e-10,	1.857943728165096e-11
36,	0.7268963759354446,	0.07556278770717048,	0.0,	1.246322191376056e-10,	1.9174132441113856e-13,	3.1699366986912054e-12,	1.927057624352609e-11,	1.301250987459154e-12,	2.7681624816430327e-11,	6.943164503504386e-13,	5.742957167630225e-09,	3.1633139413530503e-13,	4.6032618938317585e-10,	1.9047024072617923e-11
38,	0.7369179561790106,	0.08580248647165833,	0.0,	1.6614148135082206e-10,	1.918905800828687e-13,	3.2718946653988363e-12,	1.8950684122514015e-11,	1.5339378407489849e-12,	2.799227198472321e-11,	6.855016753569585e-13,	5.665398896855259e-09,	3.1947468878386194e-13,	4.5503404724805833e-10,	1.8934029433120737e-11
40,	0.7250458294662091,	0.07128618933212305,	0.0,	2.1016537138346595e-10,	1.9217379054273877e-13,	3.4529039865145935e-12,	1.89096883406344e-11,	1.6733734818016904e-12,	2.7809390805760876e-11,	6.05072581690228e-13,	5.62149455220116e-09,	3.331027755094074e-13,	4.5709426415523497e-10,	1.9025503252173932e-11
42,	0.7149304471401677,	0.05762562911347655,	0.0,	2.563862056734584e-10,	1.9245700100260882e-13,	3.677782958923204e-12,	1.873509809795032e-11,	1.8259470530942264e-12,	2.8067016818955128e-11,	6.729599308973344e-13,	5.537151290032777e-09,	3.233722870268867e-13,	4.602251122528185e-10,	1.9305359136854388e-11
44,	0.7068035353384567,	0.044724741206866404,	0.0,	2.75936549750248e-10,	1.927402114624789e-13,	3.849581709788728e-12,	1.8551474570243177e-11,	2.0735059690380426e-12,	2.8107759030074244e-11,	7.496803195640996e-13,	5.531232560109095e-09,	3.165076209284506e-13,	4.580524449671627e-10,	1.918629250529831e-11
46,	0.6936219869442856,	0.03286212518965002,	0.0,	2.5141112529297756e-10,	1.930196223653027e-13,	3.741725373128828e-12,	1.8827234468931372e-11,	1.8220391411280643e-12,	2.795698618449343e-11,	6.323592449944724e-13,	5.552707447954681e-09,	3.1972801222317536e-13,	4.558345905400742e-10,	1.9111609134925948e-11
48,	0.6867098158458433,	0.02234249327557297,	0.0,	2.1209570038061327e-10,	1.9305948293943299e-13,	3.835648974292949e-12,	1.8750592853761728e-11,	1.6604977214929036e-12,	2.7924711245654875e-11,	6.63334916407435e-13,	5.6106254366553585e-09,	3.232385450302783e-13,	4.5858871643805156e-10,	1.9125910927024266e-11
50,	0.6737783646727289,	0.013497692766355932,	0.0,	1.7353741442553815e-10,	1.9298672195628157e-13,	3.735983300423117e-12,	1.9529217203789666e-11,	1.521935350653017e-12,	2.805218692105799e-11,	6.984666674943513e-13,	5.6731585872023304e-09,	3.2603780950222864e-13,	4.576143641166463e-10,	1.8898275058615666e-11
52,	0.6662509420739788,	0.006622087449629721,	0.0,	1.3466702039214805e-10,	1.9284217365611255e-13,	3.7575762908912035e-12,	1.9413551338406253e-11,	1.2870570122821127e-12,	2.7870382066923836e-11,	6.74038888406349e-13,	5.724192664485422e-09,	2.9378809429507316e-13,	4.5743170211238035e-10,	1.9066449090982284e-11
54,	0.654940182766704,	0.0017039517298648266,	0.0,	1.0124750897146293e-10,	1.9269762535594353e-13,	3.750325009162097e-12,	1.859743412440328e-11,	1.3398988893181379e-12,	2.7588090964690867e-11,	6.53519204485439e-13,	5.7859300058198845e-09,	3.5356572887813985e-13,	4.6119934928841536e-10,	1.9476865703366516e-11
